Gender Grade Age Race UrbanRural School Goals Grades Sports Looks Money
boy 5 11 White Rural Elm Sports 1 2 4 3
boy 5 10 White Rural Elm Popular 2 1 4 3
girl 5 11 White Rural Elm Popular 4 3 1 2
girl 5 11 White Rural Elm Popular 2 3 4 1
girl 5 10 White Rural Elm Popular 4 2 1 3
girl 5 11 White Rural Elm Popular 4 2 1 3
girl 5 10 White Rural Elm Popular 3 4 1 2
girl 5 10 White Rural Elm Grades 3 4 2 1
girl 5 10 White Rural Elm Sports 3 2 1 4
girl 5 10 White Rural Elm Sports 4 3 2 1
girl 5 11 White Rural Elm Sports 2 3 1 4
girl 4 10 White Rural Elm Grades 2 3 4 1
boy 4 9 White Rural Elm Popular 2 3 4 1
boy 4 9 White Rural Elm Popular 4 2 3 1
boy 4 9 Other Rural Elm Popular 4 3 2 1
girl 4 9 White Rural Elm Grades 1 3 2 4
girl 4 9 White Rural Elm Sports 3 1 2 4
girl 4 9 White Rural Elm Popular 3 4 1 2
girl 4 9 White Rural Elm Grades 2 3 1 4
girl 4 9 White Rural Elm Sports 3 2 1 4
girl 4 9 White Rural Elm Popular 4 3 1 2
girl 4 9 White Suburban BrentEl Grades 1 4 2 3
girl 4 9 White Suburban BrentEl Popular 4 2 1 3
girl 4 9 White Suburban BrentEl Grades 4 3 2 1
girl 4 7 White Suburban BrentEl Grades 1 2 3 4
girl 4 9 White Suburban BrentEl Popular 2 3 1 4
girl 4 10 White Suburban BrentEl Popular 2 3 1 4
girl 4 9 White Suburban BrentEl Grades 4 2 1 3
girl 4 10 White Suburban BrentEl Popular 2 3 4 1
boy 4 10 White Suburban BrentEl Grades 1 2 4 3
boy 4 10 White Suburban BrentEl Grades 2 4 3 1
boy 4 9 White Suburban BrentEl Grades 1 2 4 3
boy 4 9 White Suburban BrentEl Grades 3 1 2 4
boy 4 10 White Suburban BrentEl Grades 2 1 3 4
boy 4 11 White Suburban BrentEl Sports 3 1 2 4
boy 4 9 White Suburban BrentEl Sports 4 3 2 1
boy 4 10 White Suburban BrentEl Popular 3 2 1 4
boy 4 10 White Suburban BrentEl Sports 3 1 4 2
boy 4 10 White Suburban BrentEl Grades 2 3 1 4
boy 4 9 White Suburban BrentEl Sports 4 1 3 2
boy 4 9 White Suburban BrentEl Grades 2 1 3 4
boy 4 10 White Suburban BrentEl Grades 2 1 4 3
boy 4 9 White Suburban BrentEl Popular 3 2 4 1
boy 5 11 Other Suburban BrentEl Grades 2 1 3 4
boy 5 11 White Suburban BrentEl Popular 2 1 4 3
boy 5 11 White Suburban BrentEl Grades 4 1 2 3
boy 5 11 White Suburban BrentEl Popular 4 3 1 2
boy 5 11 Other Suburban BrentEl Sports 4 2 1 3
boy 5 11 White Suburban BrentEl Grades 2 1 3 4
boy 5 11 White Suburban BrentEl Popular 3 2 1 4
boy 5 10 White Suburban BrentEl Grades 2 1 3 4
boy 5 11 White Suburban BrentEl Sports 4 1 2 3
boy 5 11 White Suburban BrentEl Sports 3 1 2 4
boy 5 10 Other Suburban BrentEl Popular 3 2 1 4
boy 5 10 White Suburban BrentEl Sports 4 1 3 2
boy 5 10 White Suburban BrentEl Sports 4 1 3 2
boy 5 11 White Suburban BrentEl Grades 2 1 3 4
boy 5 11 White Suburban BrentEl Grades 1 2 4 3
boy 5 10 White Suburban BrentEl Grades 2 3 1 4
boy 5 11 White Suburban BrentEl Grades 2 1 3 4
boy 5 10 White Suburban BrentEl Grades 2 1 3 4
boy 5 10 White Suburban BrentEl Popular 4 1 2 3
boy 5 11 Other Suburban BrentEl Grades 3 1 2 4
boy 5 10 White Suburban BrentEl Grades 3 4 1 2
boy 5 10 White Suburban BrentEl Grades 2 1 3 4
boy 5 10 White Suburban BrentEl Grades 2 1 4 3
boy 5 10 White Suburban BrentEl Grades 3 1 2 4
boy 5 11 White Suburban BrentEl Popular 4 2 1 3
boy 5 10 White Suburban BrentEl Grades 1 3 2 4
boy 5 10 White Suburban BrentEl Grades 2 1 4 3
boy 5 10 White Suburban BrentEl Popular 4 2 1 3
girl 5 9 White Suburban BrentEl Popular 2 3 1 4
girl 5 11 White Suburban BrentEl Grades 3 2 1 4
girl 5 12 Other Suburban BrentEl Grades 2 3 1 4
girl 5 10 White Suburban BrentEl Grades 3 4 1 2
girl 5 11 White Suburban BrentEl Grades 2 4 1 3
girl 5 11 White Suburban BrentEl Grades 2 1 4 3
girl 5 10 White Suburban BrentEl Grades 2 3 1 4
girl 5 10 White Suburban BrentEl Grades 1 2 3 4
girl 5 12 White Suburban BrentEl Popular 3 4 1 2
girl 5 11 White Suburban BrentEl Grades 1 4 2 3
girl 5 11 White Suburban BrentEl Grades 3 4 1 2
girl 5 10 White Suburban BrentEl Grades 3 1 2 4
girl 5 10 White Suburban BrentEl Grades 2 1 4 3
girl 5 10 White Suburban BrentEl Popular 2 3 1 4
girl 5 10 White Suburban BrentEl Popular 3 2 1 4
girl 5 10 White Suburban BrentEl Grades 1 3 2 4
girl 5 11 White Suburban BrentEl Sports 1 3 2 4
girl 6 11 Other Suburban BrentMid Popular 2 3 1 4
girl 6 11 White Suburban BrentMid Popular 1 3 2 4
girl 6 11 White Suburban BrentMid Popular 1 3 4 2
girl 6 11 White Suburban BrentMid Grades 4 1 2 3
girl 6 11 White Suburban BrentMid Sports 1 2 3 4
girl 6 11 White Suburban BrentMid Grades 3 4 1 2
