  azot  metoda  plon
dawka1   met1   64.5
dawka1   met1   66.3
dawka1   met1   69.3
dawka1   met1   67.0
dawka1   met2   74.0
dawka1   met2   75.8
dawka1   met2   72.0
dawka1   met2   72.5
dawka2   met1   64.8
dawka2   met1   66.5
dawka2   met1   66.8
dawka2   met1   67.3
dawka2   met2   77.3
dawka2   met2   71.5
dawka2   met2   74.0
dawka2   met2   74.5
dawka3   met1   69.3
dawka3   met1   70.3
dawka3   met1   70.0
dawka3   met1   69.0
dawka3   met2   76.3
dawka3   met2   72.0
dawka3   met2   72.5
dawka3   met2   76.8
dawka4   met1   69.0
dawka4   met1   71.5
dawka4   met1   71.3
dawka4   met1   72.0
dawka4   met2   77.0
dawka4   met2   74.5
dawka4   met2   79.0
dawka4   met2   79.8

