,AG.LND.AGRI.K2,AG.LND.ARBL.HA.PC,AG.LND.ARBL.ZS,AG.LND.CROP.ZS,AG.LND.TOTL.K2,AG.PRD.CROP.XD,AG.PRD.FOOD.XD,AG.PRD.LVSK.XD,AG.SRF.TOTL.K2,AG.YLD.CREL.KG,BM.GSR.INSF.ZS,BM.GSR.TRVL.ZS,BX.GSR.CMCP.ZS,BX.KLT.DINV.WD.GD.ZS,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EG.USE.COMM.KT.OE,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.PC,EN.ATM.PM10.MC.M3,ER.H2O.INTR.K3,ER.H2O.INTR.PC,FM.LBL.MQMY.GD.ZS,FS.AST.PRVT.GD.ZS,IC.CRD.PRVT.ZS,IC.EXP.DURS,IC.LGL.CRED.XQ,NE.RSB.GNFS.ZS,NE.TRD.GNFS.ZS,Corruption.Index
Afghanistan,379110,0.287780507,11.98350275,0.211581804,652230,176,127,95,652230,1982.7,-2.552964872,48.02087309,29.09048289,3.976666167,2.480082182,4.03612851,183871,559.9451237,3534.357152,5.281083464,0.024200921,61.29560055,55,2002.5104,22.30793534,8.059047834,0,74,6,-31.04251843,132.7796425,107.5
Albania,11810,0.191739667,22.26277372,4.416058394,27400,140,115,114,28750,4315.3,9.727538843,71.01971853,19.89376874,9.414124311,12.58234814,11.00541711,2321,123.8269981,1473.892299,1.112033306,1.616921841,56.92967774,26.9,8706.127107,75.58177143,37.95679444,0,26,9,-18.19054855,85.63053241,66.1
Argentina,1333500,0.825542205,11.87566001,0.365770328,2736690,141,128,108,2780400,4352.4,5.7582334,46.96869413,49.79893748,2.977119203,7.498786463,6.904680369,76359,175.353783,2800.351652,0.543115436,4.663104151,80.43241154,276,7329.248428,30.41296248,20.83357735,100,16,4,14.889662,45.12583853,46.8
Armenia,17564,0.148665895,15.9761236,1.896067416,28480,195,191,177,29740,2647.4,8.180862076,46.50061202,26.95805091,9.103013458,6.264855555,5.768510062,2997,258.3496974,1691.507429,1.689403036,1.643577916,104.3751007,6.859,2240.721944,25.06184795,26.80275152,38.3,34,6,-14.42048483,82.18764655,72.3
Samoa,50,0.034110484,10,15,200,137,128,100,200,1853.9,6.755972531,28.63825364,18.93295245,2.960857215,16.3988869,15.98306898,97881,119.3893962,1402.602948,1.215002346,1.097241901,39.03800506,0.052,2240.721944,25.06184795,19.12496523,0,27,1,9.005580042,168.00745,69.5
Antigua & Barbuda,130,0.101054759,18.18181818,2.272727273,440,112,112,115,440,1625,22.2055521,23.14142442,14.75678931,35.49577044,11.8658037,11.16369066,146,106.6254101,1221.853727,0.531097529,5.073788328,15.09556545,0.052,645.9065671,116.8238719,89.88921527,0,19,7,-8.323403622,134.9173863,59.9
Austria,4557000,2.565651883,6.483344832,0.045559273,7682300,103,102,101,7741220,2219.2,4.341080826,38.74462591,23.71229671,5.985411615,6.595328626,5.730917348,131160,184.7903419,11182.12899,0.760882041,17.94727852,16.90251194,492,25036.38418,99.45440419,127.8344121,100,12,9,0.259278956,43.79924078,27.3
Azerbaijan,47586,0.226318267,22.51512951,2.753570564,82672,152,151,152,86600,2741.4,5.570769039,19.30953002,52.4423171,45.14985707,5.712860849,5.260248221,13578,517.3744691,2513.627712,5.076201986,4.190185478,68.07650135,8.115,993.0379783,24.52848582,19.63000231,0,56,6,44.68298264,121.5033641,81.9
Belgium,13940,0.08214251,27.90620872,0.759577279,30280,113,100,100,30530,9631.9,7.851047956,29.24496345,56.21445055,31.71804897,7.024657308,6.26812681,59238,185.9885487,8683.671285,0.493861189,11.24346146,27.88495102,12,1161.327785,136.6778017,97.9225267,0,8,7,5.749358821,170.5263097,34.1
Benin,35670,0.371722841,24.85988067,2.666787199,110620,121,123,135,112620,1329.8,12.90112749,14.32859716,30.73927561,4.602161525,4.259734766,4.219467766,3005,260.2309677,79.10502419,1.312547549,0.47738837,50.88384907,10.3,1484.580898,37.46363996,23.06763667,0,34,3,-11.34178851,47.78225048,80
Bahamas,130,0.023209087,0.699300699,0.3996004,10010,131,116,96,13880,2235.2,13.99166537,27.89311803,15.32356386,11.78634592,12.42348894,12.25723678,709,86.38576998,6630.890992,0.366701151,6.805576175,38.42875677,0.02,65.4020098,83.95349335,93.20080487,0,19,9,-1.195283804,107.8208945,56.5
Belarus,91280,0.577818429,28.40169592,0.606389272,202900,172,157,150,207600,3556.3,3.622100625,58.50647038,29.13931981,3.942952902,4.352358066,4.007533945,28629,400.9168053,3454.905228,4.390906731,7.068988235,9.652482461,37.2,3834.260977,27.11257118,44.78223971,0,22,3,0.711265755,142.1365104,77.6
Belize,1520,0.263951735,3.068829461,1.49057431,22810,118,124,154,22970,3101.2,24.70251216,34.87885259,25.74567773,12.48755792,11.54380837,11.42825693,178,92.07468822,1219.903692,0.813924117,2.762596191,19.16252633,16,60331.82504,75.09815064,66.04092453,0,21,8,-0.519781891,132.1299772,67.7
Bolivia,371110,0.416108402,3.513338872,0.202160066,1083300,126,133,139,1098580,2100,24.2421445,33.74569167,22.90066629,8.668609634,8.268567258,8.011371587,5715,151.1628713,565.1628856,1.392832991,1.420146823,92.39290827,303.5,35100.26243,63.13559417,53.55660006,33.9,24,1,9.005580042,82.8670209,82.9
Brazil,2645000,0.333367001,7.210896255,0.886585605,8459420,154,148,143,8514880,3831,8.603988091,26.22113663,60.85774808,4.056733444,8.021398576,7.415129595,248528,137.1856402,2237.092819,0.519966714,1.938986124,32.30262064,5418,30219.32824,65.91821484,56.99250934,62.2,18,3,3.876903298,28.97319492,65.1
Barbados,190,0.059658752,37.20930233,2.325581395,430,90,107,117,430,2736.8,33.30893509,20.34291478,19.88760706,8.29551626,13.38477972,12.62738887,401,80.25447255,3140.09341,0.523788938,4.950658646,38.76537926,0.08,297.6046545,151.8215021,102.9237756,3.3,19,3,2.367741353,131.492338,52.8
Brunei,114,0.007946746,0.569259962,0.948766603,5270,133,150,161,5770,1290.9,1.567943275,45.426918,21.39146298,3.93049838,7.005207064,7.604441931,3629,201.4811701,8827.256049,1.092997782,20.12946839,60.89438859,8.5,24883.99666,83.10603346,53.67576281,0,27,7,46.60536163,108.7479691,65.8
